CUST_ID,LABEL_PROB,REASON_CODE_1,REASON_CODE_2,REASON_CODE_3
5237,0.656,INV_SEG1 <,INV_SEG_32 <,INV_MONTH12 <
5242,0.124,NA,NA,NA
5249,0.448,MTG_NUM_SQUARE <,INV_SEG_32 <,MTG_NUM_INVERSE >
5257,0.466,INV_SEG1 <,INV_MONTH10 <,AGE <
5266,0.332,INV_MONTH12 <,INV_MONTH2 <,INV_MONTH1 >
5268,0.192,NA,NA,NA
5287,0.132,NA,NA,NA
5306,0.232,NA,NA,NA
5408,0.1,NA,NA,NA
5427,0.208,NA,NA,NA
5760,0.316,NA,NA,NA
10986,0.058,NA,NA,NA
5429,0.342,AGE <,INV_SEG_32 >,RR <
5471,0.014,NA,NA,NA
5502,0.198,NA,NA,NA
5553,0.364,INV_MONTH12 <,INV_SEG1 <,INV_MONTH10 <
5565,0.538,MTG_NUM <,INV_SEG_32 <,MTG_NUM_SQUARE <
5732,0.13,NA,NA,NA
5747,0.15,NA,NA,NA
5783,0.168,NA,NA,NA
5831,0.258,NA,NA,NA
5840,0.046,NA,NA,NA
5854,0.396,INV_MONTH10 <,INV_SEG_32 >,DIV <
5865,0.296,NA,NA,NA
5877,0.93,INV_MONTH7 >,INV_MONTH4 <,INV_SEG1 <
6266,0.078,NA,NA,NA
5878,0.428,INV_MONTH12 >,AVG_BAL <,STD_RR <
5897,0.352,RR <,INV_SEG_32 >,DIV <
5902,0.068,NA,NA,NA
5931,0.194,NA,NA,NA
5940,0.156,NA,NA,NA
5995,0.416,INV_SEG1 <,INV_SEG_32 >,STD_RR <
6021,0.366,INV_SEG_32 >,INV_MONTH9 <,INV_MONTH10 >
7596,0.184,NA,NA,NA
6031,0.24,NA,NA,NA
6097,0.058,NA,NA,NA
6130,0.022,NA,NA,NA
6134,0.418,RR <,INV_SEG1 >,INV_MONTH10 >
6187,0.324,INV_SEG1 >,MTG_NUM_SQUARE <,MTG_NUM <
6259,0.202,NA,NA,NA
6276,0.252,NA,NA,NA
6318,0.166,NA,NA,NA
6319,0.112,NA,NA,NA
6342,0.344,INV_MONTH11 <,AGE <,INV_SEG_32 >
6399,0.342,INV_MONTH7 >,INV_SEG_32 >,INV_MONTH12 >
6403,0.156,NA,NA,NA
6448,0.066,NA,NA,NA
8056,0.028,NA,NA,NA
6449,0.168,NA,NA,NA
6479,0.016,NA,NA,NA
6481,0.452,INV_SEG_32 >,INV_MONTH7 >,INV_MONTH6 >
6486,0.38,INV_MONTH12 <,INV_SEG_32 <,INV_MONTH7 <
6519,0.052,NA,NA,NA
6538,0.344,INV_SEG_32 >,INV_MONTH12 >,AGE <
6539,0.464,INV_MONTH1 >,INV_MONTH2 <,INV_MONTH10 <
6584,0.288,NA,NA,NA
6615,0.74,INV_MONTH12 <,INV_SEG2 <,INV_MONTH10 <
6617,0.254,NA,NA,NA
6664,0.216,NA,NA,NA
6690,0.066,NA,NA,NA
6757,0.114,NA,NA,NA
6801,0.22,NA,NA,NA
6834,0.334,INV_MONTH12 <,MTG_NUM_INVERSE >,MTG_NUM_SQUARE <
6877,0.394,INV_MONTH12 <,INV_MONTH10 >,MTG_NUM <
6888,0.08,NA,NA,NA
6918,0.094,NA,NA,NA
6936,0.136,NA,NA,NA
6967,0.246,NA,NA,NA
7063,0.21,NA,NA,NA
7072,0.138,NA,NA,NA
7088,0.06,NA,NA,NA
7115,0.066,NA,NA,NA
7166,0.502,INV_MONTH11 <,INV_SEG_32 >,MTG_NUM <
7172,0.04,NA,NA,NA
7181,0.442,INV_MONTH10 <,INV_SEG_32 <,STD_RR <
7187,0.118,NA,NA,NA
8688,0.162,NA,NA,NA
7206,0.278,NA,NA,NA
7231,0.096,NA,NA,NA
7261,0.112,NA,NA,NA
7322,0.216,NA,NA,NA
7324,0.13,NA,NA,NA
7379,0.328,INV_MONTH11 <,INV_MONTH10 <,INV_SEG_32 <
8759,0.044,NA,NA,NA
7415,0.376,INV_SEG_32 >,INV_MONTH12 <,INV_MONTH9 >
7429,0.19,NA,NA,NA
7442,0.18,NA,NA,NA
7469,0.3,NA,NA,NA
7483,0.18,NA,NA,NA
7490,0.266,NA,NA,NA
7550,0.074,NA,NA,NA
7610,0.57,MTG_NUM_SQUARE <,MTG_NUM <,INV_SEG_32 <
7612,0.108,NA,NA,NA
7630,0.236,NA,NA,NA
7681,0.02,NA,NA,NA
7776,0.42,MTG_NUM_INVERSE >,INV_SEG2 >,MTG_NUM_SQUARE <
7783,0.226,NA,NA,NA
7798,0.048,NA,NA,NA
7810,0.124,NA,NA,NA
7834,0.07,NA,NA,NA
7854,0.308,NA,NA,NA
7900,0.376,RR <,INV_MONTH2 <,INV_MONTH1 >
7938,0.042,NA,NA,NA
8000,0.352,INV_SEG_32 <,INV_MONTH10 <,MTG_NUM <
8013,0.076,NA,NA,NA
8014,0.22,NA,NA,NA
8065,0.178,NA,NA,NA
8076,0.094,NA,NA,NA
8077,0.04,NA,NA,NA
8231,0.106,NA,NA,NA
8236,0.218,NA,NA,NA
8237,0.346,RR <,INV_SEG_21 <,INV_MONTH12 >
8785,0.072,NA,NA,NA
8255,0.5,INV_MONTH12 <,INV_MONTH10 <,MTG_NUM_INVERSE >
8273,0.212,NA,NA,NA
8286,0.114,NA,NA,NA
8340,0.226,NA,NA,NA
8495,0.364,INV_MONTH11 <,INV_MONTH10 >,INV_SEG_32 >
8501,0.494,INV_SEG_32 >,INV_MONTH10 <,RR <
9960,0.102,NA,NA,NA
8519,0.49,MTG_NUM_INVERSE >,MTG_NUM <,MTG_NUM_SQUARE <
8522,0.142,NA,NA,NA
8532,0.05,NA,NA,NA
8534,0.114,NA,NA,NA
8593,0.052,NA,NA,NA
8600,0.072,NA,NA,NA
8618,0.092,NA,NA,NA
8637,0.708,INV_MONTH12 <,INV_SEG1 <,INV_MONTH7 >
8800,0.24,NA,NA,NA
8808,0.274,NA,NA,NA
8889,0.152,NA,NA,NA
8957,0.098,NA,NA,NA
8967,0.082,NA,NA,NA
8979,0.378,MTG_NUM_INVERSE <,INV_MONTH10 <,AGE <
9137,0.17,NA,NA,NA
9141,0.348,INV_MONTH7 <,INV_MONTH10 <,INV_SEG_32 <
9142,0.082,NA,NA,NA
9198,0.522,INV_MONTH12 <,INV_SEG_32 >,MTG_NUM_INVERSE >
9256,0.048,NA,NA,NA
9258,0.152,NA,NA,NA
9261,0.356,INV_MONTH12 <,MTG_NUM_SQUARE <,INV_MONTH10 <
9273,0.018,NA,NA,NA
9311,0.752,INV_MONTH6 >,INV_SEG1 <,MTG_NUM_SQUARE <
9326,0.064,NA,NA,NA
9350,0.078,NA,NA,NA
9351,0.294,NA,NA,NA
9356,0.148,NA,NA,NA
9374,0.07,NA,NA,NA
9393,0.606,INV_MONTH12 <,INV_MONTH10 <,INV_MONTH11 <
9504,0.082,NA,NA,NA
9521,0.392,INV_MONTH10 <,INV_MONTH4 >,DIV <
9526,0.248,NA,NA,NA
9565,0.078,NA,NA,NA
9566,0.12,NA,NA,NA
9613,0.184,NA,NA,NA
9675,0.122,NA,NA,NA
9687,0.064,NA,NA,NA
10107,0.252,NA,NA,NA
9712,0.462,INV_SEG_32 >,INV_MONTH7 >,INV_SEG2 <
9726,0.28,NA,NA,NA
9770,0.116,NA,NA,NA
9863,0.17,NA,NA,NA
9868,0.176,NA,NA,NA
9929,0.144,NA,NA,NA
9945,0.442,INV_SEG_32 <,RR <,DIV <
9949,0.216,NA,NA,NA
9995,0.362,INV_MONTH11 <,INV_MONTH12 <,MTG_NUM_INVERSE >
10012,0.102,NA,NA,NA
10052,0.204,NA,NA,NA
10061,0.038,NA,NA,NA
10085,0.158,NA,NA,NA
10098,0.29,NA,NA,NA
10103,0.446,INV_SEG_32 <,INV_MONTH10 <,INV_SEG1 <
10138,0.02,NA,NA,NA
10191,0.364,INV_SEG1 <,INV_MONTH10 <,INV_SEG_21 >
10213,0.056,NA,NA,NA
10282,0.338,INV_MONTH12 >,INV_SEG1 >,INV_MONTH10 >
10299,0.118,NA,NA,NA
10324,0.224,NA,NA,NA
10332,0.438,STD_DIV <,INV_MONTH1 <,INV_SEG2 <
10334,0.09,NA,NA,NA
10341,0.432,AGE <,INV_SEG_32 >,INV_MONTH6 >
10391,0.14,NA,NA,NA
10407,0.55,INV_SEG_32 >,INV_SEG_21 >,STD_INV >
10468,0.17,NA,NA,NA
10472,0.078,NA,NA,NA
10497,0.086,NA,NA,NA
10845,0.292,NA,NA,NA
10542,0.606,INV_MONTH6 >,INV_MONTH10 <,INV_SEG1 <
10555,0.152,NA,NA,NA
10558,0.084,NA,NA,NA
10573,0.072,NA,NA,NA
10581,0.272,NA,NA,NA
10713,0.246,NA,NA,NA
10744,0.092,NA,NA,NA
10749,0.098,NA,NA,NA
10759,0.068,NA,NA,NA
10855,0.234,NA,NA,NA
10889,0.058,NA,NA,NA
10929,0.426,INV_MONTH10 <,RR <,INV_SEG_32 >
10936,0.112,NA,NA,NA
10965,0.474,INV_MONTH10 <,INV_MONTH12 <,INV_MONTH2 <
10972,0.122,NA,NA,NA
11061,0.336,INV_MONTH1 <,INV_SEG_32 >,INV_MONTH7 <
11084,0.164,NA,NA,NA
11097,0.308,NA,NA,NA
11107,0.144,NA,NA,NA
11173,0.148,NA,NA,NA
11180,0.186,NA,NA,NA
11220,0.31,NA,NA,NA
11244,0.124,NA,NA,NA
11294,0.088,NA,NA,NA
11316,0.102,NA,NA,NA
11327,0.122,NA,NA,NA
11339,0.054,NA,NA,NA
11395,0.118,NA,NA,NA
11405,0.362,INV_SEG_32 <,AGE <,INV_MONTH2 <
11419,0.076,NA,NA,NA
11422,0.288,NA,NA,NA
11445,0.086,NA,NA,NA
11507,0.178,NA,NA,NA
11559,0.506,INV_MONTH12 <,MTG_NUM_INVERSE >,INV_MONTH4 <
11588,0.286,NA,NA,NA
11602,0.264,NA,NA,NA
11611,0.244,NA,NA,NA
11665,0.384,INV_SEG_32 <,AGE <,INV_MONTH3 >
11667,0.514,INV_SEG1 <,INV_SEG_32 >,INV_MONTH6 <
11669,0.112,NA,NA,NA
11686,0.144,NA,NA,NA
11744,0.194,NA,NA,NA
11807,0.166,NA,NA,NA
11832,0.072,NA,NA,NA
11847,0.078,NA,NA,NA
11861,0.162,NA,NA,NA
11908,0.216,NA,NA,NA
11922,0.172,NA,NA,NA
11934,0.076,NA,NA,NA
11951,0.256,NA,NA,NA
11955,0.294,NA,NA,NA
11986,0.488,INV_MONTH12 <,MTG_NUM_SQUARE <,MTG_NUM <
12006,0.522,INV_MONTH11 <,INV_MONTH12 <,AVG_BAL <
12034,0.35,INV_SEG_21 <,MTG_NUM_INVERSE <,INV_MONTH2 <
12063,0.416,INV_SEG_32 >,RR <,INV_MONTH12 <
12065,0.088,NA,NA,NA
12088,0.068,NA,NA,NA
12094,0.056,NA,NA,NA
12111,0.21,NA,NA,NA
12128,0.226,NA,NA,NA
12140,0.048,NA,NA,NA
12148,0.104,NA,NA,NA
12172,0.084,NA,NA,NA
12225,0.088,NA,NA,NA
12247,0.172,NA,NA,NA
12248,0.18,NA,NA,NA
12272,0.064,NA,NA,NA
12317,0.396,INV_MONTH10 <,INV_SEG_32 >,INV_MONTH2 <
12354,0.084,NA,NA,NA
12439,0.096,NA,NA,NA
12460,0.024,NA,NA,NA
12487,0.102,NA,NA,NA
12526,0.12,NA,NA,NA
12547,0.058,NA,NA,NA
12569,0.238,NA,NA,NA
12594,0.224,NA,NA,NA
12607,0.564,INV_MONTH12 <,MTG_NUM_SQUARE <,MTG_NUM <
12610,0.11,NA,NA,NA
12620,0.174,NA,NA,NA
12622,0.168,NA,NA,NA
12653,0.524,INV_SEG_32 <,INV_MONTH10 >,MTG_NUM_SQUARE <
12654,0.094,NA,NA,NA
12670,0.174,NA,NA,NA
12707,0.276,NA,NA,NA
12728,0.074,NA,NA,NA
12834,0.274,NA,NA,NA
12878,0.102,NA,NA,NA
12912,0.162,NA,NA,NA
12926,0.346,RR >,DIV >,MTG_NUM_INVERSE >
12975,0.304,NA,NA,NA
12995,0.13,NA,NA,NA
13005,0.144,NA,NA,NA
13010,0.222,NA,NA,NA
13162,0.386,RR <,INV_MONTH1 >,INV_MONTH12 >
13055,0.37,INV_SEG1 >,INV_MONTH10 >,MTG_NUM_SQUARE <
13063,0.488,MTG_NUM_INVERSE >,INV_SEG_32 >,MTG_NUM <
13078,0.4,INV_MONTH10 <,INV_SEG_32 >,INV_MONTH12 >
13112,0.172,NA,NA,NA
13122,0.1,NA,NA,NA
13135,0.04,NA,NA,NA
13177,0.688,INV_MONTH10 <,INV_MONTH12 <,INV_SEG2 <
13205,0.358,MTG_NUM <,MTG_NUM_INVERSE >,INV_SEG2 >
13210,0.164,NA,NA,NA
13254,0.186,NA,NA,NA
13332,0.378,RR <,DIV <,INV_MONTH3 <
13334,0.162,NA,NA,NA
13356,0.156,NA,NA,NA
13372,0.472,INV_SEG_32 >,INV_MONTH10 >,INV_MONTH7 >
