CUST_ID,LABEL_PROB,REASON_CODE_1,REASON_CODE_2,REASON_CODE_3
5125,0.25,NA,NA,NA
5137,0.098,NA,NA,NA
5154,0.172,NA,NA,NA
5170,0.23,NA,NA,NA
5189,0.216,NA,NA,NA
5208,0.362,INV_SEG_32 <,INV_MONTH7 <,INV_STD_SQUARE <
5222,0.126,NA,NA,NA
5229,0.098,NA,NA,NA
5237,0.148,NA,NA,NA
5242,0.228,NA,NA,NA
5249,0.38,INV_SEG_32 <,INV_MONTH7 <,INV_STD_SQUARE >
5257,0.074,NA,NA,NA
5266,0.382,INV_STD_SQUARE >,INV_SEG_32 >,WITHDRAW_RECHARGE_RATIO >
5268,0.176,NA,NA,NA
5287,0.082,NA,NA,NA
5306,0.27,NA,NA,NA
5408,0.15,NA,NA,NA
5427,0.684,INV_SEG_32 <,INV_MONTH7 <,INV_SEG3 <
5760,0.096,NA,NA,NA
10986,0.132,NA,NA,NA
5429,0.354,INV_MONTH7 <,INV_SEG_32 >,INV_MONTH6 >
5471,0.156,NA,NA,NA
5502,0.246,NA,NA,NA
5553,0.324,NA,NA,NA
5565,0.018,NA,NA,NA
5732,0.344,INV_MONTH7 <,INV_SEG_32 <,INV_SEG3 >
5747,0.202,NA,NA,NA
5783,0.412,INV_SEG_32 >,INV_MONTH7 <,INV_STD_SQUARE >
5831,0.126,NA,NA,NA
5840,0.128,NA,NA,NA
5854,0.008,NA,NA,NA
5865,0.51,INV_MONTH7 <,INV_STD_SQUARE >,INV_SEG_21 >
5877,0.03,NA,NA,NA
6266,0.214,NA,NA,NA
5878,0.33,NA,NA,NA
5897,0.154,NA,NA,NA
5902,0.122,NA,NA,NA
5931,0.148,NA,NA,NA
5940,0.184,NA,NA,NA
5995,0.252,NA,NA,NA
6021,0.03,NA,NA,NA
7596,0.194,NA,NA,NA
6031,0.378,INV_MONTH7 >,INV_SEG_21 <,INV_SEG_32 >
6097,0.394,INV_SEG_32 <,INV_SEG_21 <,INV_STD_SQUARE >
6130,0.07,NA,NA,NA
6134,0.532,STD_INV >,INV_MONTH7 <,INV_SEG_32 >
6187,0.438,INV_MONTH7 <,STD_INV >,INV_STD_SQUARE >
6259,0.328,NA,NA,NA
6276,0.35,STD_RR >,INV_SEG_32 <,INV_STD_SQUARE >
6318,0,NA,NA,NA
6319,0.062,NA,NA,NA
6342,0.068,NA,NA,NA
6399,0.23,NA,NA,NA
6403,0.256,NA,NA,NA
6448,0.324,NA,NA,NA
8056,0.188,NA,NA,NA
6449,0.48,INV_MONTH7 <,INV_SEG_32 <,INV_STD_SQUARE >
6479,0.094,NA,NA,NA
6481,0.356,INV_MONTH7 >,INV_SEG_32 >,INV_SEG_21 <
6486,0.002,NA,NA,NA
6519,0.164,NA,NA,NA
6538,0.422,INV_STD_SQUARE >,STD_INV >,INV_SEG_32 >
6539,0.008,NA,NA,NA
6584,0.128,NA,NA,NA
6615,0.08,NA,NA,NA
6617,0.306,NA,NA,NA
6664,0.128,NA,NA,NA
6690,0.202,NA,NA,NA
6757,0.356,INV_SEG_32 <,AVG_BAL >,INV_MONTH7 >
6801,0.184,NA,NA,NA
6834,0.244,NA,NA,NA
6877,0.294,NA,NA,NA
6888,0.466,INV_MONTH12 >,INV_SEG_32 <,INV_MONTH7 <
6918,0.176,NA,NA,NA
6936,0.31,NA,NA,NA
6967,0.152,NA,NA,NA
7063,0.216,NA,NA,NA
7072,0.392,INV_SEG_32 <,INV_MONTH7 <,INV_MONTH6 >
7088,0.246,NA,NA,NA
7115,0.096,NA,NA,NA
7166,0.236,NA,NA,NA
7172,0.144,NA,NA,NA
7181,0.288,NA,NA,NA
7187,0.32,NA,NA,NA
8688,0,NA,NA,NA
7206,0.364,INV_SEG_32 <,INV_MONTH7 <,INV_MONTH6 >
7231,0.294,NA,NA,NA
7261,0.396,INV_SEG_32 <,INV_MONTH7 <,RR <
7322,0.33,NA,NA,NA
7324,0.448,INV_SEG_32 <,INV_STD_SQUARE >,RECHARGE_TIMES <
7379,0,NA,NA,NA
8759,0.15,NA,NA,NA
7415,0.242,NA,NA,NA
7429,0.444,INV_SEG_32 <,INV_SEG3 <,INV_MONTH6 <
7442,0.252,NA,NA,NA
7469,0.362,INV_MONTH7 <,INV_SEG_32 <,INV_SEG_21 >
7483,0.52,INV_MONTH7 <,INV_SEG_32 <,INV_SEG_21 <
7490,0.144,NA,NA,NA
7550,0.216,NA,NA,NA
7610,0.014,NA,NA,NA
7612,0.258,NA,NA,NA
7630,0.45,INV_MONTH7 <,INV_SEG_32 >,INV_SEG_21 <
7681,0.24,NA,NA,NA
7776,0.338,NA,NA,NA
7783,0.43,INV_MONTH7 <,INV_SEG_32 >,INV_SEG_21 >
7798,0.116,NA,NA,NA
7810,0.392,INV_MONTH7 <,INV_SEG_21 >,INV_MONTH4 >
7834,0.06,NA,NA,NA
7854,0.256,NA,NA,NA
7900,0.132,NA,NA,NA
7938,0.116,NA,NA,NA
8000,0.128,NA,NA,NA
8013,0.112,NA,NA,NA
8014,0.24,NA,NA,NA
8065,0.402,INV_SEG_32 <,INV_MONTH7 >,INV_MONTH12 >
8076,0.236,NA,NA,NA
8077,0.374,INV_MONTH12 >,INV_SEG_21 <,YRS_W_CLUB <
8231,0.254,NA,NA,NA
8236,0.248,NA,NA,NA
8237,0.464,STD_INV >,INV_MONTH7 <,INV_STD_SQUARE >
8785,0.226,NA,NA,NA
8255,0.134,NA,NA,NA
8273,0.372,INV_MONTH7 <,STD_RR >,INV_SEG_32 <
8286,0.144,NA,NA,NA
8340,0.306,NA,NA,NA
8495,0,NA,NA,NA
8501,0.16,NA,NA,NA
9960,0.108,NA,NA,NA
8519,0.188,NA,NA,NA
8522,0.282,NA,NA,NA
8532,0.336,NA,NA,NA
8534,0.138,NA,NA,NA
8593,0.166,NA,NA,NA
8600,0.116,NA,NA,NA
8618,0.252,NA,NA,NA
8637,0.058,NA,NA,NA
8800,0.358,INV_SEG_32 <,INV_MONTH1 >,INV_MONTH7 <
8808,0.454,INV_MONTH6 <,INV_MONTH7 <,INV_STD_SQUARE >
8889,0.5,INV_SEG_21 <,INV_SEG_32 >,STD_INV >
8957,0.122,NA,NA,NA
8967,0.28,NA,NA,NA
8979,0.068,NA,NA,NA
9137,0,NA,NA,NA
9141,0.34,NA,NA,NA
9142,0.262,NA,NA,NA
9198,0.282,NA,NA,NA
9256,0.092,NA,NA,NA
9258,0.148,NA,NA,NA
9261,0.34,NA,NA,NA
9273,0.102,NA,NA,NA
9311,0.142,NA,NA,NA
9326,0.178,NA,NA,NA
9350,0.022,NA,NA,NA
9351,0,NA,NA,NA
9356,0.22,NA,NA,NA
9374,0.28,NA,NA,NA
9393,0.136,NA,NA,NA
9504,0.56,INV_MONTH7 <,INV_SEG_32 <,RR >
9521,0.306,NA,NA,NA
9526,0.318,NA,NA,NA
9565,0.498,INV_MONTH7 <,INV_SEG_32 <,DIV >
9566,0.22,NA,NA,NA
9613,0.4,INV_MONTH7 <,INV_SEG_32 >,INV_MONTH6 >
9675,0.206,NA,NA,NA
9687,0.196,NA,NA,NA
10107,0.576,INV_SEG_32 <,INV_MONTH7 <,DIV >
9712,0.232,NA,NA,NA
9726,0.16,NA,NA,NA
9770,0.528,INV_SEG_32 <,INV_MONTH7 <,INV_STD_SQUARE >
9863,0.184,NA,NA,NA
9868,0.072,NA,NA,NA
9929,0.268,NA,NA,NA
9945,0.008,NA,NA,NA
9949,0.168,NA,NA,NA
9995,0.366,INV_STD_SQUARE >,RR >,STD_INV >
10012,0.326,NA,NA,NA
10052,0.158,NA,NA,NA
10061,0.18,NA,NA,NA
10085,0.266,NA,NA,NA
10098,0.156,NA,NA,NA
10103,0.004,NA,NA,NA
10138,0.144,NA,NA,NA
10191,0.248,NA,NA,NA
10213,0.088,NA,NA,NA
10282,0.456,INV_SEG_32 <,INV_MONTH7 <,INV_SEG3 <
10299,0.254,NA,NA,NA
10324,0.462,INV_SEG_32 >,INV_MONTH7 <,STD_INV >
10332,0.05,NA,NA,NA
10334,0.348,INV_SEG_32 <,INV_SEG_21 >,INV_MONTH7 >
10341,0.052,NA,NA,NA
10391,0.238,NA,NA,NA
10407,0.15,NA,NA,NA
10468,0.27,NA,NA,NA
10472,0.26,NA,NA,NA
10497,0.174,NA,NA,NA
10845,0.212,NA,NA,NA
10542,0.286,NA,NA,NA
10555,0.094,NA,NA,NA
10558,0.104,NA,NA,NA
10573,0.314,NA,NA,NA
10581,0.326,NA,NA,NA
10713,0.174,NA,NA,NA
10744,0.118,NA,NA,NA
10749,0.106,NA,NA,NA
10759,0.302,NA,NA,NA
10855,0.446,STD_RR >,INV_SEG_32 <,INV_SEG_21 >
10889,0.094,NA,NA,NA
10929,0.07,NA,NA,NA
10936,0.376,INV_SEG_32 <,INV_MONTH6 >,INV_MONTH7 <
10965,0.324,NA,NA,NA
10972,0.526,INV_SEG_32 <,INV_MONTH7 <,INV_MONTH6 <
11061,0.246,NA,NA,NA
11084,0.3,NA,NA,NA
11097,0.29,NA,NA,NA
11107,0.262,NA,NA,NA
11173,0.422,RR >,INV_MONTH7 >,INV_MONTH7 <
11180,0.322,NA,NA,NA
11220,0.298,NA,NA,NA
11244,0.296,NA,NA,NA
11294,0.172,NA,NA,NA
11316,0.562,INV_MONTH7 <,INV_SEG_32 <,DIV >
11327,0.064,NA,NA,NA
11339,0.102,NA,NA,NA
11395,0.246,NA,NA,NA
11405,0.356,INV_MONTH7 >,INV_MONTH4 >,INV_SEG_21 >
11419,0.186,NA,NA,NA
11422,0.152,NA,NA,NA
11445,0.394,STD_INV >,INV_SEG_21 >,INV_MONTH7 <
11507,0.126,NA,NA,NA
11559,0.22,NA,NA,NA
11588,0.222,NA,NA,NA
11602,0.508,INV_SEG_32 <,STD_INV >,INV_MONTH7 >
11611,0.386,INV_MONTH7 <,INV_SEG_32 <,INV_MONTH2 <
11665,0.376,INV_SEG_32 <,INV_MONTH12 <,INV_SEG3 <
11667,0.176,NA,NA,NA
11669,0.038,NA,NA,NA
11686,0.002,NA,NA,NA
11744,0.336,NA,NA,NA
11807,0.284,NA,NA,NA
11832,0.154,NA,NA,NA
11847,0.44,INV_SEG_32 <,INV_MONTH7 <,INV_MONTH6 <
11861,0.236,NA,NA,NA
11908,0.002,NA,NA,NA
11922,0.534,INV_SEG_32 <,INV_MONTH7 >,INV_SEG1 >
11934,0.146,NA,NA,NA
11951,0.302,NA,NA,NA
11955,0.668,INV_SEG_32 <,INV_MONTH7 <,INV_STD_SQUARE >
11986,0.39,INV_MONTH7 <,INV_STD_SQUARE >,INV_SEG_32 >
12006,0.166,NA,NA,NA
12034,0.036,NA,NA,NA
12063,0.408,INV_SEG_32 >,INV_STD_SQUARE >,STD_INV >
12065,0.254,NA,NA,NA
12088,0.174,NA,NA,NA
